Set: close, Dataset: 1, Algorithm: ahc, m: 5000, n:4, k:14, out:0.00, Gstr: 1.17, Grex: 3.89, Gmin: 0.11, Sil: 0.69, C-H: 23.27, D-B: 0.37, time: 8.31
Set: close, Dataset: 1, Algorithm: ahc+CR, m: 5000, n:4, k:9, out:0.05, Gstr: 1.91, Grex: 5.75, Gmin: 0.12, Sil: 0.81, C-H: 33.49, D-B: 0.29, time: 20.66
Set: close, Dataset: 2, Algorithm: ahc, m: 5000, n:16, k:14, out:0.00, Gstr: 2.57, Grex: 4.09, Gmin: 0.08, Sil: 0.53, C-H: 19.68, D-B: 0.48, time: 25.91
Set: close, Dataset: 2, Algorithm: ahc+CR, m: 5000, n:16, k:7, out:0.07, Gstr: 5.09, Grex: 7.75, Gmin: 4.84, Sil: 0.85, C-H: 36.07, D-B: 0.21, time: 75.81
Set: close, Dataset: 3, Algorithm: ahc, m: 5000, n:16, k:14, out:0.00, Gstr: 3.33, Grex: 5.24, Gmin: 0.10, Sil: 0.68, C-H: 21.54, D-B: 0.43, time: 29.11
Set: close, Dataset: 3, Algorithm: ahc+CR, m: 5000, n:16, k:7, out:0.07, Gstr: 4.95, Grex: 7.57, Gmin: 3.78, Sil: 0.85, C-H: 39.91, D-B: 0.21, time: 73.53
Set: close, Dataset: 4, Algorithm: ahc, m: 5000, n:5, k:14, out:0.00, Gstr: 1.69, Grex: 4.13, Gmin: 0.15, Sil: 0.68, C-H: 16.83, D-B: 0.35, time: 7.68
Set: close, Dataset: 4, Algorithm: ahc+CR, m: 5000, n:5, k:8, out:0.08, Gstr: 2.15, Grex: 5.09, Gmin: 1.19, Sil: 0.80, C-H: 25.56, D-B: 0.29, time: 20.57
Set: close, Dataset: 5, Algorithm: ahc, m: 5000, n:17, k:14, out:0.00, Gstr: 5.29, Grex: 7.94, Gmin: 0.09, Sil: 0.81, C-H: 29.92, D-B: 0.30, time: 20.33
Set: close, Dataset: 5, Algorithm: ahc+CR, m: 5000, n:17, k:9, out:0.09, Gstr: 5.74, Grex: 8.58, Gmin: 5.06, Sil: 0.87, C-H: 39.37, D-B: 0.19, time: 70.37
Set: close, Dataset: 6, Algorithm: ahc, m: 5000, n:13, k:14, out:0.00, Gstr: 3.89, Grex: 6.24, Gmin: 0.02, Sil: 0.75, C-H: 20.35, D-B: 0.39, time: 21.84
Set: close, Dataset: 6, Algorithm: ahc+CR, m: 5000, n:13, k:7, out:0.12, Gstr: 4.31, Grex: 6.89, Gmin: 2.76, Sil: 0.84, C-H: 32.59, D-B: 0.24, time: 58.64
Set: close, Dataset: 7, Algorithm: ahc, m: 5000, n:23, k:14, out:0.00, Gstr: 2.36, Grex: 3.61, Gmin: 0.01, Sil: 0.53, C-H: 13.97, D-B: 0.52, time: 49.90
Set: close, Dataset: 7, Algorithm: ahc+CR, m: 5000, n:23, k:5, out:0.15, Gstr: 4.14, Grex: 6.13, Gmin: 3.70, Sil: 0.83, C-H: 27.82, D-B: 0.25, time: 138.73
Set: close, Dataset: 8, Algorithm: ahc, m: 5000, n:17, k:14, out:0.00, Gstr: 5.11, Grex: 7.73, Gmin: 0.23, Sil: 0.81, C-H: 28.90, D-B: 0.24, time: 18.95
Set: close, Dataset: 8, Algorithm: ahc+CR, m: 5000, n:17, k:11, out:0.05, Gstr: 5.80, Grex: 8.73, Gmin: 4.07, Sil: 0.87, C-H: 34.73, D-B: 0.19, time: 52.12
Set: close, Dataset: 9, Algorithm: ahc, m: 5000, n:20, k:14, out:0.00, Gstr: 5.40, Grex: 7.93, Gmin: 0.04, Sil: 0.84, C-H: 27.53, D-B: 0.26, time: 25.26
Set: close, Dataset: 9, Algorithm: ahc+CR, m: 5000, n:20, k:8, out:0.13, Gstr: 6.09, Grex: 8.85, Gmin: 4.98, Sil: 0.87, C-H: 41.56, D-B: 0.19, time: 69.33
Set: close, Dataset: 10, Algorithm: ahc, m: 5000, n:20, k:14, out:0.00, Gstr: 4.10, Grex: 6.12, Gmin: 0.08, Sil: 0.74, C-H: 18.16, D-B: 0.42, time: 32.78
Set: close, Dataset: 10, Algorithm: ahc+CR, m: 5000, n:20, k:8, out:0.07, Gstr: 5.04, Grex: 7.40, Gmin: 4.22, Sil: 0.85, C-H: 29.71, D-B: 0.21, time: 75.39
Set: close, Dataset: 11, Algorithm: ahc, m: 5000, n:22, k:14, out:0.00, Gstr: 5.82, Grex: 8.23, Gmin: 0.25, Sil: 0.80, C-H: 29.27, D-B: 0.23, time: 26.87
Set: close, Dataset: 11, Algorithm: ahc+CR, m: 5000, n:22, k:7, out:0.17, Gstr: 6.70, Grex: 9.41, Gmin: 5.99, Sil: 0.88, C-H: 45.27, D-B: 0.17, time: 72.26
Set: close, Dataset: 12, Algorithm: ahc, m: 5000, n:23, k:14, out:0.00, Gstr: 3.09, Grex: 4.64, Gmin: 0.15, Sil: 0.67, C-H: 14.74, D-B: 0.42, time: 36.62
Set: close, Dataset: 12, Algorithm: ahc+CR, m: 5000, n:23, k:6, out:0.17, Gstr: 4.19, Grex: 6.17, Gmin: 3.33, Sil: 0.83, C-H: 25.22, D-B: 0.25, time: 84.02
