Set: close, Dataset: 1, Algorithm: gmm, m: 5000, n:4, k:14, out:0.00, Gstr: 1.24, Grex: 3.73, Gmin: -1.45, Sil: 0.58, C-H: 31.76, D-B: 0.75, time: 5.18
Set: close, Dataset: 1, Algorithm: gmm+CR, m: 5000, n:4, k:10, out:0.05, Gstr: 2.53, Grex: 6.00, Gmin: 0.14, Sil: 0.80, C-H: 38.94, D-B: 0.29, time: 20.00
Set: close, Dataset: 2, Algorithm: gmm, m: 5000, n:16, k:14, out:0.00, Gstr: 1.62, Grex: 3.01, Gmin: -1.69, Sil: 0.44, C-H: 20.28, D-B: 2.52, time: 17.62
Set: close, Dataset: 2, Algorithm: gmm+CR, m: 5000, n:16, k:7, out:0.07, Gstr: 5.07, Grex: 7.75, Gmin: 4.82, Sil: 0.85, C-H: 36.05, D-B: 0.21, time: 91.09
Set: close, Dataset: 3, Algorithm: gmm, m: 5000, n:16, k:14, out:0.00, Gstr: 1.75, Grex: 3.18, Gmin: -1.71, Sil: 0.47, C-H: 22.06, D-B: 2.72, time: 20.96
Set: close, Dataset: 3, Algorithm: gmm+CR, m: 5000, n:16, k:7, out:0.07, Gstr: 4.93, Grex: 7.57, Gmin: 3.76, Sil: 0.85, C-H: 39.89, D-B: 0.21, time: 83.02
Set: close, Dataset: 4, Algorithm: gmm, m: 5000, n:5, k:14, out:0.00, Gstr: 1.57, Grex: 4.10, Gmin: -1.41, Sil: 0.68, C-H: 22.43, D-B: 0.73, time: 8.13
Set: close, Dataset: 4, Algorithm: gmm+CR, m: 5000, n:5, k:9, out:0.08, Gstr: 2.19, Grex: 5.18, Gmin: 0.01, Sil: 0.78, C-H: 29.77, D-B: 0.34, time: 20.30
Set: close, Dataset: 5, Algorithm: gmm, m: 5000, n:17, k:14, out:0.00, Gstr: 4.63, Grex: 7.09, Gmin: -1.64, Sil: 0.73, C-H: 30.19, D-B: 1.21, time: 18.92
Set: close, Dataset: 5, Algorithm: gmm+CR, m: 5000, n:17, k:9, out:0.09, Gstr: 5.74, Grex: 8.58, Gmin: 5.06, Sil: 0.87, C-H: 39.37, D-B: 0.19, time: 69.73
Set: close, Dataset: 6, Algorithm: gmm, m: 5000, n:13, k:14, out:0.00, Gstr: 1.54, Grex: 3.00, Gmin: -1.74, Sil: 0.48, C-H: 20.85, D-B: 1.79, time: 14.47
Set: close, Dataset: 6, Algorithm: gmm+CR, m: 5000, n:13, k:7, out:0.12, Gstr: 4.31, Grex: 6.89, Gmin: 2.75, Sil: 0.84, C-H: 32.59, D-B: 0.24, time: 65.89
Set: close, Dataset: 7, Algorithm: gmm, m: 5000, n:23, k:14, out:0.00, Gstr: 0.95, Grex: 1.92, Gmin: -1.76, Sil: 0.39, C-H: 14.24, D-B: 3.34, time: 28.51
Set: close, Dataset: 7, Algorithm: gmm+CR, m: 5000, n:23, k:5, out:0.15, Gstr: 4.13, Grex: 6.13, Gmin: 3.70, Sil: 0.83, C-H: 27.81, D-B: 0.25, time: 165.74
Set: close, Dataset: 8, Algorithm: gmm, m: 5000, n:17, k:14, out:0.00, Gstr: 5.06, Grex: 7.71, Gmin: -1.66, Sil: 0.79, C-H: 29.04, D-B: 0.69, time: 18.60
Set: close, Dataset: 8, Algorithm: gmm+CR, m: 5000, n:17, k:11, out:0.05, Gstr: 5.80, Grex: 8.73, Gmin: 4.07, Sil: 0.87, C-H: 34.72, D-B: 0.19, time: 58.89
Set: close, Dataset: 9, Algorithm: gmm, m: 5000, n:20, k:14, out:0.00, Gstr: 4.76, Grex: 7.08, Gmin: -1.67, Sil: 0.77, C-H: 27.71, D-B: 0.70, time: 22.80
Set: close, Dataset: 9, Algorithm: gmm+CR, m: 5000, n:20, k:8, out:0.13, Gstr: 6.09, Grex: 8.85, Gmin: 4.98, Sil: 0.87, C-H: 41.56, D-B: 0.19, time: 74.57
Set: close, Dataset: 10, Algorithm: gmm, m: 5000, n:20, k:14, out:0.00, Gstr: 1.78, Grex: 3.08, Gmin: -1.68, Sil: 0.49, C-H: 18.53, D-B: 2.43, time: 20.30
Set: close, Dataset: 10, Algorithm: gmm+CR, m: 5000, n:20, k:8, out:0.07, Gstr: 5.03, Grex: 7.40, Gmin: 4.22, Sil: 0.85, C-H: 29.70, D-B: 0.21, time: 80.78
Set: close, Dataset: 11, Algorithm: gmm, m: 5000, n:22, k:14, out:0.00, Gstr: 5.64, Grex: 8.07, Gmin: -1.73, Sil: 0.77, C-H: 29.36, D-B: 0.91, time: 23.99
Set: close, Dataset: 11, Algorithm: gmm+CR, m: 5000, n:22, k:7, out:0.17, Gstr: 6.69, Grex: 9.41, Gmin: 5.99, Sil: 0.88, C-H: 45.25, D-B: 0.17, time: 78.18
Set: close, Dataset: 12, Algorithm: gmm, m: 5000, n:23, k:14, out:0.00, Gstr: 1.15, Grex: 2.16, Gmin: -1.77, Sil: 0.42, C-H: 14.97, D-B: 2.88, time: 21.92
Set: close, Dataset: 12, Algorithm: gmm+CR, m: 5000, n:23, k:6, out:0.17, Gstr: 4.18, Grex: 6.17, Gmin: 3.33, Sil: 0.83, C-H: 25.21, D-B: 0.25, time: 94.21
Set: close, Dataset: 13, Algorithm: gmm, m: 5000, n:20, k:14, out:0.00, Gstr: 5.12, Grex: 7.67, Gmin: -1.60, Sil: 0.79, C-H: 25.06, D-B: 0.62, time: 19.26
Set: close, Dataset: 13, Algorithm: gmm+CR, m: 5000, n:20, k:10, out:0.10, Gstr: 5.90, Grex: 8.73, Gmin: 5.19, Sil: 0.87, C-H: 30.59, D-B: 0.19, time: 59.50
