Set: close, Dataset: 1, Algorithm: mkm, m: 5000, n:4, k:14, out:0.00, Gstr: 1.38, Grex: 3.94, Gmin: -1.49, Sil: 0.61, C-H: 31.36, D-B: 0.75, time: 5.73
Set: close, Dataset: 1, Algorithm: mkm+CR, m: 5000, n:4, k:10, out:0.05, Gstr: 2.53, Grex: 6.00, Gmin: 0.14, Sil: 0.80, C-H: 38.94, D-B: 0.29, time: 21.07
Set: close, Dataset: 2, Algorithm: mkm, m: 5000, n:16, k:14, out:0.00, Gstr: 2.47, Grex: 4.17, Gmin: -1.64, Sil: 0.54, C-H: 20.29, D-B: 2.01, time: 21.10
Set: close, Dataset: 2, Algorithm: mkm+CR, m: 5000, n:16, k:7, out:0.07, Gstr: 5.07, Grex: 7.75, Gmin: 4.82, Sil: 0.85, C-H: 36.05, D-B: 0.21, time: 89.31
Set: close, Dataset: 3, Algorithm: mkm, m: 5000, n:16, k:14, out:0.00, Gstr: 0.41, Grex: 1.32, Gmin: -1.66, Sil: 0.31, C-H: 22.40, D-B: 2.65, time: 17.35
Set: close, Dataset: 3, Algorithm: mkm+CR, m: 5000, n:16, k:7, out:0.07, Gstr: 4.93, Grex: 7.57, Gmin: 3.76, Sil: 0.85, C-H: 39.89, D-B: 0.21, time: 90.55
Set: close, Dataset: 4, Algorithm: mkm, m: 5000, n:5, k:14, out:0.00, Gstr: 1.34, Grex: 3.72, Gmin: -1.45, Sil: 0.64, C-H: 22.63, D-B: 0.76, time: 7.90
Set: close, Dataset: 4, Algorithm: mkm+CR, m: 5000, n:5, k:9, out:0.08, Gstr: 2.19, Grex: 5.18, Gmin: 0.01, Sil: 0.78, C-H: 29.77, D-B: 0.34, time: 20.33
Set: close, Dataset: 5, Algorithm: mkm, m: 5000, n:17, k:14, out:0.00, Gstr: 4.64, Grex: 7.09, Gmin: -1.64, Sil: 0.73, C-H: 30.20, D-B: 1.13, time: 19.73
Set: close, Dataset: 5, Algorithm: mkm+CR, m: 5000, n:17, k:9, out:0.09, Gstr: 5.74, Grex: 8.58, Gmin: 5.06, Sil: 0.87, C-H: 39.37, D-B: 0.19, time: 75.16
Set: close, Dataset: 6, Algorithm: mkm, m: 5000, n:13, k:14, out:0.00, Gstr: 1.51, Grex: 2.95, Gmin: -1.64, Sil: 0.49, C-H: 20.90, D-B: 1.68, time: 17.64
Set: close, Dataset: 6, Algorithm: mkm+CR, m: 5000, n:13, k:7, out:0.12, Gstr: 4.31, Grex: 6.89, Gmin: 2.75, Sil: 0.84, C-H: 32.59, D-B: 0.24, time: 67.55
Set: close, Dataset: 7, Algorithm: mkm, m: 5000, n:23, k:14, out:0.00, Gstr: 0.89, Grex: 1.83, Gmin: -1.67, Sil: 0.37, C-H: 14.47, D-B: 2.55, time: 29.56
