Set: complex, Dataset: 1, Algorithm: ahc, m: 5478, n:4, k:14, out:0.00, Gstr: -1.56, Grex: -0.95, Gmin: -2.48, Sil: 0.08, C-H: 0.02, D-B: 0.86, time: 66.99
Set: complex, Dataset: 1, Algorithm: ahc+CR, m: 5478, n:4, k:0, out:0.01, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 714.02
Set: complex, Dataset: 2, Algorithm: ahc, m: 5397, n:6, k:14, out:0.00, Gstr: -1.12, Grex: -0.55, Gmin: -1.37, Sil: 0.01, C-H: 0.00, D-B: 0.69, time: 93.27
Set: complex, Dataset: 2, Algorithm: ahc+CR, m: 5397, n:6, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 752.62
Set: complex, Dataset: 3, Algorithm: ahc, m: 5732, n:22, k:14, out:0.00, Gstr: -1.09, Grex: -0.63, Gmin: -1.94, Sil: 0.19, C-H: 0.00, D-B: 0.72, time: 342.41
Set: complex, Dataset: 3, Algorithm: ahc+CR, m: 5732, n:22, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 4756.34
Set: complex, Dataset: 4, Algorithm: ahc, m: 5622, n:22, k:14, out:0.00, Gstr: -0.71, Grex: -0.45, Gmin: -1.09, Sil: 0.02, C-H: 0.00, D-B: 0.84, time: 324.41
Set: complex, Dataset: 4, Algorithm: ahc+CR, m: 5622, n:22, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 2907.64
Set: complex, Dataset: 5, Algorithm: ahc, m: 5306, n:15, k:14, out:0.00, Gstr: -0.77, Grex: 1.80, Gmin: -1.80, Sil: 0.35, C-H: 0.01, D-B: 0.56, time: 197.47
Set: complex, Dataset: 5, Algorithm: ahc+CR, m: 5306, n:15, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1968.48
Set: complex, Dataset: 6, Algorithm: ahc, m: 5680, n:13, k:14, out:0.00, Gstr: -0.42, Grex: -0.20, Gmin: -1.45, Sil: 0.11, C-H: 0.00, D-B: 0.70, time: 195.51
