Set: complex, Dataset: 1, Algorithm: gmm, m: 5478, n:4, k:14, out:0.00, Gstr: -3.02, Grex: 1.00, Gmin: -7.04, Sil: 0.85, C-H: 4.53, D-B: 1.34, time: 16.73
Set: complex, Dataset: 1, Algorithm: gmm+CR, m: 5478, n:4, k:3, out:0.09, Gstr: 8.44, Grex: 19.23, Gmin: 4.44, Sil: 0.93, C-H: 261.33, D-B: 0.12, time: 228.44
Set: complex, Dataset: 2, Algorithm: gmm, m: 5397, n:6, k:14, out:0.00, Gstr: -2.36, Grex: -0.91, Gmin: -5.89, Sil: 0.65, C-H: 2.26, D-B: 1.69, time: 17.87
Set: complex, Dataset: 2, Algorithm: gmm+CR, m: 5397, n:6, k:3, out:0.00, Gstr: -0.83, Grex: 2.39, Gmin: -6.41, Sil: 0.62, C-H: 3.32, D-B: 0.71, time: 1174.85
Set: complex, Dataset: 3, Algorithm: gmm, m: 5732, n:22, k:14, out:0.00, Gstr: -2.02, Grex: -1.59, Gmin: -6.45, Sil: 0.27, C-H: 1.50, D-B: 5.28, time: 42.43
Set: complex, Dataset: 3, Algorithm: gmm+CR, m: 5732, n:22, k:4, out:0.00, Gstr: -1.27, Grex: 0.81, Gmin: -9.55, Sil: 0.35, C-H: 3.02, D-B: 16.30, time: 6210.17
Set: complex, Dataset: 4, Algorithm: gmm, m: 5622, n:22, k:14, out:0.00, Gstr: -1.95, Grex: -1.44, Gmin: -6.78, Sil: 0.55, C-H: 1.95, D-B: 5.02, time: 43.24
Set: complex, Dataset: 4, Algorithm: gmm+CR, m: 5622, n:22, k:4, out:0.21, Gstr: -0.49, Grex: 9.97, Gmin: -2.34, Sil: 0.81, C-H: 7.41, D-B: 0.44, time: 3969.77
Set: complex, Dataset: 5, Algorithm: gmm, m: 5306, n:15, k:14, out:0.00, Gstr: -2.63, Grex: -1.95, Gmin: -15.04, Sil: 0.36, C-H: 1.65, D-B: 5.55, time: 42.44
Set: complex, Dataset: 5, Algorithm: gmm+CR, m: 5306, n:15, k:2, out:0.00, Gstr: -1.86, Grex: 2.60, Gmin: -23.43, Sil: 0.72, C-H: 4.85, D-B: 0.94, time: 4061.57
Set: complex, Dataset: 6, Algorithm: gmm, m: 5680, n:13, k:14, out:0.00, Gstr: -2.29, Grex: -1.23, Gmin: -10.61, Sil: 0.74, C-H: 2.29, D-B: 2.04, time: 24.71
