Set: complex, Dataset: 1, Algorithm: mkm, m: 5478, n:4, k:14, out:0.00, Gstr: -1.62, Grex: 1.86, Gmin: -3.45, Sil: 0.66, C-H: 5.67, D-B: 1.27, time: 15.34
Set: complex, Dataset: 1, Algorithm: mkm+CR, m: 5478, n:4, k:5, out:0.06, Gstr: -0.91, Grex: 11.75, Gmin: -3.45, Sil: 0.69, C-H: 34.63, D-B: 0.98, time: 131.99
Set: complex, Dataset: 2, Algorithm: mkm, m: 5397, n:6, k:14, out:0.00, Gstr: -1.29, Grex: 0.96, Gmin: -2.16, Sil: 0.67, C-H: 3.10, D-B: 1.50, time: 16.23
Set: complex, Dataset: 2, Algorithm: mkm+CR, m: 5397, n:6, k:3, out:0.00, Gstr: -0.91, Grex: 2.56, Gmin: -3.15, Sil: 0.62, C-H: 3.52, D-B: 0.70, time: 681.11
Set: complex, Dataset: 3, Algorithm: mkm, m: 5732, n:22, k:14, out:0.00, Gstr: -1.70, Grex: -1.24, Gmin: -6.99, Sil: 0.26, C-H: 1.57, D-B: 2.78, time: 55.17
Set: complex, Dataset: 3, Algorithm: mkm+CR, m: 5732, n:22, k:5, out:0.00, Gstr: -1.23, Grex: 1.00, Gmin: -9.68, Sil: 0.29, C-H: 2.48, D-B: 1.89, time: 3170.80
Set: complex, Dataset: 4, Algorithm: mkm, m: 5622, n:22, k:14, out:0.00, Gstr: -1.84, Grex: -1.23, Gmin: -6.65, Sil: 0.67, C-H: 2.07, D-B: 2.41, time: 43.33
Set: complex, Dataset: 4, Algorithm: mkm+CR, m: 5622, n:22, k:4, out:0.25, Gstr: 3.17, Grex: 12.87, Gmin: 1.35, Sil: 0.90, C-H: 49.03, D-B: 0.19, time: 1837.77
Set: complex, Dataset: 5, Algorithm: mkm, m: 5306, n:15, k:14, out:0.00, Gstr: -2.33, Grex: -1.68, Gmin: -18.55, Sil: 0.38, C-H: 1.93, D-B: 2.06, time: 28.58
Set: complex, Dataset: 5, Algorithm: mkm+CR, m: 5306, n:15, k:6, out:0.00, Gstr: -1.92, Grex: 1.22, Gmin: -23.23, Sil: 0.36, C-H: 1.70, D-B: 1.52, time: 1413.70
Set: complex, Dataset: 6, Algorithm: mkm, m: 5680, n:13, k:14, out:0.00, Gstr: -1.49, Grex: -0.63, Gmin: -2.87, Sil: 0.76, C-H: 2.47, D-B: 1.82, time: 26.62
Set: complex, Dataset: 6, Algorithm: mkm+CR, m: 5680, n:13, k:5, out:0.18, Gstr: 1.20, Grex: 18.71, Gmin: 0.19, Sil: 0.89, C-H: 25.46, D-B: 0.20, time: 1008.76
Set: complex, Dataset: 7, Algorithm: mkm, m: 5563, n:9, k:14, out:0.00, Gstr: -1.68, Grex: -0.17, Gmin: -3.34, Sil: 0.61, C-H: 3.15, D-B: 1.95, time: 20.69
Set: complex, Dataset: 7, Algorithm: mkm+CR, m: 5563, n:9, k:5, out:0.02, Gstr: -1.46, Grex: 7.99, Gmin: -3.70, Sil: 0.72, C-H: 4.03, D-B: 0.73, time: 990.94
Set: complex, Dataset: 8, Algorithm: mkm, m: 5510, n:20, k:14, out:0.00, Gstr: -1.90, Grex: -1.33, Gmin: -10.75, Sil: 0.62, C-H: 2.85, D-B: 2.10, time: 42.95
Set: complex, Dataset: 8, Algorithm: mkm+CR, m: 5510, n:20, k:6, out:0.05, Gstr: -0.57, Grex: 11.65, Gmin: -10.75, Sil: 0.69, C-H: 5.54, D-B: 0.96, time: 2043.78
Set: complex, Dataset: 9, Algorithm: mkm, m: 5638, n:3, k:14, out:0.00, Gstr: -0.43, Grex: 3.63, Gmin: -1.51, Sil: 0.72, C-H: 13.27, D-B: 1.07, time: 13.02
Set: complex, Dataset: 9, Algorithm: mkm+CR, m: 5638, n:3, k:2, out:0.08, Gstr: 0.95, Grex: 16.58, Gmin: -1.18, Sil: 0.85, C-H: 89.13, D-B: 0.29, time: 134.72
Set: complex, Dataset: 10, Algorithm: mkm, m: 5701, n:17, k:14, out:0.00, Gstr: -1.85, Grex: -1.62, Gmin: -9.01, Sil: 0.42, C-H: 2.16, D-B: 2.23, time: 35.01
Set: complex, Dataset: 10, Algorithm: mkm+CR, m: 5701, n:17, k:8, out:0.05, Gstr: -1.16, Grex: 8.88, Gmin: -6.41, Sil: 0.48, C-H: 3.24, D-B: 1.33, time: 1251.64
Set: complex, Dataset: 11, Algorithm: mkm, m: 5329, n:10, k:14, out:0.00, Gstr: -1.66, Grex: -0.54, Gmin: -2.31, Sil: 0.55, C-H: 1.48, D-B: 1.63, time: 23.65
Set: complex, Dataset: 11, Algorithm: mkm+CR, m: 5329, n:10, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 3897.40
