Set: dens-diff, Dataset: 1, Algorithm: gmm, m: 5000, n:5, k:14, out:0.00, Gstr: -1.57, Grex: 0.46, Gmin: -10.35, Sil: 0.48, C-H: 3.42, D-B: 7.37, time: 13.04
Set: dens-diff, Dataset: 1, Algorithm: gmm+CR, m: 5000, n:5, k:4, out:0.18, Gstr: -1.65, Grex: 4.67, Gmin: -6.58, Sil: 0.63, C-H: 8.36, D-B: 1.15, time: 314.05
Set: dens-diff, Dataset: 2, Algorithm: gmm, m: 5000, n:22, k:14, out:0.00, Gstr: -1.48, Grex: 0.56, Gmin: -10.15, Sil: 0.59, C-H: 4.17, D-B: 6.67, time: 54.58
Set: dens-diff, Dataset: 2, Algorithm: gmm+CR, m: 5000, n:22, k:4, out:0.00, Gstr: 0.66, Grex: 6.17, Gmin: 0.16, Sil: 0.81, C-H: 12.73, D-B: 0.34, time: 415.86
Set: dens-diff, Dataset: 3, Algorithm: gmm, m: 5000, n:16, k:14, out:0.00, Gstr: -4.95, Grex: -2.97, Gmin: -26.61, Sil: 0.35, C-H: 1.36, D-B: 5.98, time: 25.05
Set: dens-diff, Dataset: 3, Algorithm: gmm+CR, m: 5000, n:16, k:1, out:0.00, Gstr: -0.49, Grex: 0.02, Gmin: -10.15, Sil: 0.24, C-H: 0.92, D-B: 1.05, time: 1813.98
Set: dens-diff, Dataset: 4, Algorithm: gmm, m: 5000, n:6, k:14, out:0.00, Gstr: -2.34, Grex: -1.97, Gmin: -21.52, Sil: -0.01, C-H: 10.94, D-B: 7.01, time: 8.20
Set: dens-diff, Dataset: 4, Algorithm: gmm+CR, m: 5000, n:6, k:7, out:0.00, Gstr: -1.79, Grex: -1.55, Gmin: -5.15, Sil: 0.07, C-H: 19.65, D-B: 11.57, time: 191.26
Set: dens-diff, Dataset: 5, Algorithm: gmm, m: 5000, n:11, k:14, out:0.00, Gstr: -1.93, Grex: -1.53, Gmin: -15.35, Sil: 0.08, C-H: 5.31, D-B: 9.79, time: 12.15
Set: dens-diff, Dataset: 5, Algorithm: gmm+CR, m: 5000, n:11, k:6, out:0.00, Gstr: 0.56, Grex: 3.87, Gmin: -1.79, Sil: 0.60, C-H: 12.06, D-B: 1.57, time: 249.57
Set: dens-diff, Dataset: 6, Algorithm: gmm, m: 5000, n:20, k:14, out:0.00, Gstr: -1.03, Grex: 0.40, Gmin: -12.45, Sil: 0.25, C-H: 7.80, D-B: 10.01, time: 27.05
