Set: dens-diff, Dataset: 1, Algorithm: mkm, m: 5000, n:5, k:14, out:0.00, Gstr: -1.21, Grex: -0.18, Gmin: -1.76, Sil: 0.36, C-H: 4.41, D-B: 1.52, time: 11.08
Set: dens-diff, Dataset: 1, Algorithm: mkm+CR, m: 5000, n:5, k:4, out:0.22, Gstr: -0.74, Grex: 3.00, Gmin: -1.64, Sil: 0.49, C-H: 10.20, D-B: 1.02, time: 204.68
Set: dens-diff, Dataset: 2, Algorithm: mkm, m: 5000, n:22, k:14, out:0.00, Gstr: -1.79, Grex: -0.69, Gmin: -2.36, Sil: 0.23, C-H: 4.46, D-B: 2.64, time: 38.32
Set: dens-diff, Dataset: 2, Algorithm: mkm+CR, m: 5000, n:22, k:6, out:0.00, Gstr: 0.03, Grex: 3.09, Gmin: -1.60, Sil: 0.43, C-H: 7.10, D-B: 1.71, time: 584.39
Set: dens-diff, Dataset: 3, Algorithm: mkm, m: 5000, n:16, k:14, out:0.00, Gstr: -2.34, Grex: -1.05, Gmin: -15.45, Sil: 0.34, C-H: 1.60, D-B: 2.71, time: 24.69
Set: dens-diff, Dataset: 3, Algorithm: mkm+CR, m: 5000, n:16, k:2, out:0.00, Gstr: -0.86, Grex: -0.01, Gmin: -4.02, Sil: 0.31, C-H: 1.08, D-B: 1.10, time: 1609.43
Set: dens-diff, Dataset: 4, Algorithm: mkm, m: 5000, n:6, k:14, out:0.00, Gstr: -1.64, Grex: -0.84, Gmin: -2.51, Sil: 0.22, C-H: 18.06, D-B: 1.69, time: 7.89
Set: dens-diff, Dataset: 4, Algorithm: mkm+CR, m: 5000, n:6, k:8, out:0.00, Gstr: -1.71, Grex: -1.35, Gmin: -3.65, Sil: 0.20, C-H: 20.46, D-B: 5.06, time: 128.78
Set: dens-diff, Dataset: 5, Algorithm: mkm, m: 5000, n:11, k:14, out:0.00, Gstr: -0.96, Grex: 0.47, Gmin: -2.04, Sil: 0.42, C-H: 6.22, D-B: 1.86, time: 18.67
Set: dens-diff, Dataset: 5, Algorithm: mkm+CR, m: 5000, n:11, k:6, out:0.08, Gstr: 0.70, Grex: 4.42, Gmin: -1.92, Sil: 0.63, C-H: 10.26, D-B: 1.04, time: 93.62
Set: dens-diff, Dataset: 6, Algorithm: mkm, m: 5000, n:20, k:14, out:0.00, Gstr: -0.62, Grex: 1.45, Gmin: -2.29, Sil: 0.35, C-H: 8.65, D-B: 2.06, time: 29.29
Set: dens-diff, Dataset: 6, Algorithm: mkm+CR, m: 5000, n:20, k:6, out:0.06, Gstr: 0.52, Grex: 4.45, Gmin: -1.59, Sil: 0.45, C-H: 16.43, D-B: 1.67, time: 183.87
Set: dens-diff, Dataset: 7, Algorithm: mkm, m: 5000, n:16, k:14, out:0.00, Gstr: -2.10, Grex: -1.40, Gmin: -4.43, Sil: 0.26, C-H: 1.02, D-B: 2.16, time: 31.97
Set: dens-diff, Dataset: 7, Algorithm: mkm+CR, m: 5000, n:16, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 2040.19
Set: dens-diff, Dataset: 8, Algorithm: mkm, m: 5000, n:6, k:14, out:0.00, Gstr: -2.77, Grex: -1.02, Gmin: -9.10, Sil: 0.36, C-H: 4.83, D-B: 1.96, time: 10.23
Set: dens-diff, Dataset: 8, Algorithm: mkm+CR, m: 5000, n:6, k:3, out:0.00, Gstr: -0.48, Grex: 5.22, Gmin: -3.44, Sil: 0.59, C-H: 3.76, D-B: 0.57, time: 575.38
Set: dens-diff, Dataset: 9, Algorithm: mkm, m: 5000, n:6, k:14, out:0.00, Gstr: -0.78, Grex: 1.55, Gmin: -2.16, Sil: 0.48, C-H: 8.31, D-B: 1.54, time: 11.38
Set: dens-diff, Dataset: 9, Algorithm: mkm+CR, m: 5000, n:6, k:4, out:0.05, Gstr: 1.24, Grex: 7.06, Gmin: 0.65, Sil: 0.80, C-H: 21.10, D-B: 0.27, time: 86.35
Set: dens-diff, Dataset: 10, Algorithm: mkm, m: 5000, n:8, k:14, out:0.00, Gstr: -2.17, Grex: -1.26, Gmin: -5.69, Sil: 0.50, C-H: 1.05, D-B: 1.63, time: 14.66
Set: dens-diff, Dataset: 10, Algorithm: mkm+CR, m: 5000, n:8, k:1, out:0.00, Gstr: -0.48, Grex: 0.65, Gmin: -2.28, Sil: 0.35, C-H: 1.63, D-B: 0.76, time: 1281.04
Set: dens-diff, Dataset: 11, Algorithm: mkm, m: 5000, n:4, k:14, out:0.00, Gstr: -1.64, Grex: 0.02, Gmin: -3.28, Sil: 0.33, C-H: 2.72, D-B: 1.27, time: 5.34
Set: dens-diff, Dataset: 11, Algorithm: mkm+CR, m: 5000, n:4, k:3, out:0.00, Gstr: -1.29, Grex: 0.13, Gmin: -1.70, Sil: 0.29, C-H: 1.84, D-B: 1.26, time: 1224.18
Set: dens-diff, Dataset: 12, Algorithm: mkm, m: 5000, n:3, k:14, out:0.00, Gstr: -1.25, Grex: -0.39, Gmin: -1.58, Sil: 0.23, C-H: 18.56, D-B: 1.24, time: 3.15
Set: dens-diff, Dataset: 12, Algorithm: mkm+CR, m: 5000, n:3, k:3, out:0.00, Gstr: 0.85, Grex: 4.30, Gmin: -2.16, Sil: 0.53, C-H: 33.22, D-B: 1.14, time: 111.82
