Set: high-noise, Dataset: 1, Algorithm: ahc, m: 6048, n:12, k:14, out:0.00, Gstr: -0.68, Grex: -0.02, Gmin: -0.92, Sil: 0.16, C-H: 0.00, D-B: 0.62, time: 250.17
Set: high-noise, Dataset: 1, Algorithm: ahc+CR, m: 6048, n:12, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1330.06
Set: high-noise, Dataset: 2, Algorithm: ahc, m: 6904, n:3, k:14, out:0.00, Gstr: -0.54, Grex: 0.46, Gmin: -5.44, Sil: -0.05, C-H: 0.01, D-B: 0.62, time: 71.04
Set: high-noise, Dataset: 2, Algorithm: ahc+CR, m: 6904, n:3, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1491.15
Set: high-noise, Dataset: 3, Algorithm: ahc, m: 6376, n:18, k:14, out:0.00, Gstr: -0.53, Grex: -0.36, Gmin: -1.70, Sil: 0.04, C-H: 0.00, D-B: 0.75, time: 339.77
Set: high-noise, Dataset: 3, Algorithm: ahc+CR, m: 6376, n:18, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 2034.87
Set: high-noise, Dataset: 4, Algorithm: ahc, m: 5858, n:3, k:14, out:0.00, Gstr: -0.65, Grex: 0.18, Gmin: -5.90, Sil: 0.06, C-H: 0.01, D-B: 0.68, time: 47.85
Set: high-noise, Dataset: 4, Algorithm: ahc+CR, m: 5858, n:3, k:0, out:0.01, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 623.84
Set: high-noise, Dataset: 5, Algorithm: ahc, m: 6757, n:21, k:14, out:0.00, Gstr: -0.88, Grex: -0.65, Gmin: -1.28, Sil: 0.08, C-H: 0.00, D-B: 0.77, time: 470.60
Set: high-noise, Dataset: 5, Algorithm: ahc+CR, m: 6757, n:21, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 3282.62
Set: high-noise, Dataset: 6, Algorithm: ahc, m: 6001, n:10, k:14, out:0.00, Gstr: -0.40, Grex: 0.15, Gmin: -2.02, Sil: 0.08, C-H: 0.00, D-B: 0.68, time: 165.93
Set: high-noise, Dataset: 6, Algorithm: ahc+CR, m: 6001, n:10, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1323.44
Set: high-noise, Dataset: 7, Algorithm: ahc, m: 6132, n:8, k:14, out:0.00, Gstr: -0.54, Grex: -0.23, Gmin: -2.04, Sil: -0.12, C-H: 0.00, D-B: 0.81, time: 138.88
Set: high-noise, Dataset: 7, Algorithm: ahc+CR, m: 6132, n:8, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 2071.90
Set: high-noise, Dataset: 8, Algorithm: ahc, m: 6911, n:23, k:14, out:0.00, Gstr: -0.04, Grex: 0.29, Gmin: -0.26, Sil: -0.01, C-H: 0.00, D-B: 0.72, time: 532.91
Set: high-noise, Dataset: 8, Algorithm: ahc+CR, m: 6911, n:23, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 3686.51
Set: high-noise, Dataset: 9, Algorithm: ahc, m: 6676, n:5, k:14, out:0.00, Gstr: -0.30, Grex: -0.05, Gmin: -1.43, Sil: -0.09, C-H: 0.00, D-B: 0.71, time: 110.13
Set: high-noise, Dataset: 9, Algorithm: ahc+CR, m: 6676, n:5, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1169.24
Set: high-noise, Dataset: 10, Algorithm: ahc, m: 6228, n:8, k:14, out:0.00, Gstr: -0.43, Grex: -0.12, Gmin: -3.22, Sil: -0.01, C-H: 0.00, D-B: 0.72, time: 140.53
Set: high-noise, Dataset: 10, Algorithm: ahc+CR, m: 6228, n:8, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1528.40
Set: high-noise, Dataset: 11, Algorithm: ahc, m: 6534, n:9, k:14, out:0.00, Gstr: -0.17, Grex: 0.08, Gmin: -0.69, Sil: -0.05, C-H: 0.00, D-B: 0.70, time: 184.80
