Set: high-noise, Dataset: 1, Algorithm: bench, m: 6048, n:12, k:4, out:0.17, Gstr: 59.12, Grex: 87.03, Gmin: 49.82, Sil: 0.98, C-H: 4877.56, D-B: 0.02, time: 48.65
Set: high-noise, Dataset: 2, Algorithm: bench, m: 6904, n:3, k:5, out:0.28, Gstr: 56.68, Grex: 112.61, Gmin: 28.06, Sil: 0.98, C-H: 13348.49, D-B: 0.02, time: 7.98
Set: high-noise, Dataset: 3, Algorithm: bench, m: 6376, n:18, k:5, out:0.22, Gstr: 89.41, Grex: 122.36, Gmin: 82.75, Sil: 0.99, C-H: 9019.48, D-B: 0.02, time: 46.55
Set: high-noise, Dataset: 4, Algorithm: bench, m: 5858, n:3, k:3, out:0.15, Gstr: 47.97, Grex: 93.32, Gmin: 42.56, Sil: 0.98, C-H: 8313.22, D-B: 0.02, time: 13.97
Set: high-noise, Dataset: 5, Algorithm: bench, m: 6757, n:21, k:4, out:0.26, Gstr: 109.79, Grex: 148.53, Gmin: 97.73, Sil: 0.99, C-H: 14161.00, D-B: 0.01, time: 68.82
Set: high-noise, Dataset: 6, Algorithm: bench, m: 6001, n:10, k:6, out:0.17, Gstr: 50.39, Grex: 76.98, Gmin: 37.42, Sil: 0.98, C-H: 3262.18, D-B: 0.03, time: 25.35
Set: high-noise, Dataset: 7, Algorithm: bench, m: 6132, n:8, k:5, out:0.18, Gstr: 81.82, Grex: 127.77, Gmin: 75.28, Sil: 0.99, C-H: 9430.16, D-B: 0.02, time: 24.56
Set: high-noise, Dataset: 8, Algorithm: bench, m: 6911, n:23, k:5, out:0.28, Gstr: 133.81, Grex: 177.21, Gmin: 121.72, Sil: 0.99, C-H: 15957.46, D-B: 0.01, time: 59.73
Set: high-noise, Dataset: 9, Algorithm: bench, m: 6676, n:5, k:5, out:0.25, Gstr: 75.71, Grex: 127.98, Gmin: 35.81, Sil: 0.99, C-H: 16032.74, D-B: 0.02, time: 14.82
Set: high-noise, Dataset: 10, Algorithm: bench, m: 6228, n:8, k:4, out:0.20, Gstr: 69.28, Grex: 107.67, Gmin: 57.58, Sil: 0.99, C-H: 8617.66, D-B: 0.02, time: 33.08
Set: high-noise, Dataset: 11, Algorithm: bench, m: 6534, n:9, k:4, out:0.23, Gstr: 103.74, Grex: 158.27, Gmin: 94.71, Sil: 0.99, C-H: 15980.01, D-B: 0.01, time: 30.15
Set: high-noise, Dataset: 12, Algorithm: bench, m: 6097, n:23, k:4, out:0.18, Gstr: 78.03, Grex: 104.49, Gmin: 72.56, Sil: 0.99, C-H: 6191.20, D-B: 0.02, time: 75.13
Set: high-noise, Dataset: 13, Algorithm: bench, m: 6795, n:17, k:2, out:0.26, Gstr: 134.69, Grex: 186.67, Gmin: 130.08, Sil: 0.99, C-H: 28264.74, D-B: 0.01, time: 90.39
Set: high-noise, Dataset: 14, Algorithm: bench, m: 6981, n:17, k:4, out:0.28, Gstr: 92.69, Grex: 127.41, Gmin: 73.42, Sil: 0.99, C-H: 12826.22, D-B: 0.02, time: 64.66
Set: high-noise, Dataset: 15, Algorithm: bench, m: 6847, n:4, k:6, out:0.27, Gstr: 71.43, Grex: 128.30, Gmin: 47.76, Sil: 0.99, C-H: 17464.46, D-B: 0.02, time: 8.45
Set: high-noise, Dataset: 16, Algorithm: bench, m: 6264, n:7, k:3, out:0.20, Gstr: 57.91, Grex: 93.54, Gmin: 51.18, Sil: 0.98, C-H: 6902.09, D-B: 0.02, time: 38.45
Set: high-noise, Dataset: 17, Algorithm: bench, m: 6117, n:13, k:6, out:0.18, Gstr: 74.22, Grex: 109.08, Gmin: 65.61, Sil: 0.99, C-H: 5743.90, D-B: 0.02, time: 28.85
Set: high-noise, Dataset: 18, Algorithm: bench, m: 6087, n:23, k:4, out:0.18, Gstr: 80.28, Grex: 106.62, Gmin: 76.46, Sil: 0.99, C-H: 7144.01, D-B: 0.02, time: 65.67
Set: high-noise, Dataset: 19, Algorithm: bench, m: 6594, n:6, k:3, out:0.24, Gstr: 77.43, Grex: 129.78, Gmin: 68.91, Sil: 0.99, C-H: 11250.43, D-B: 0.02, time: 25.73
Set: high-noise, Dataset: 20, Algorithm: bench, m: 6432, n:21, k:6, out:0.22, Gstr: 96.57, Grex: 130.64, Gmin: 89.72, Sil: 0.99, C-H: 6821.39, D-B: 0.02, time: 70.76
