Set: high-noise, Dataset: 1, Algorithm: gmm, m: 6048, n:12, k:14, out:0.00, Gstr: -2.66, Grex: -1.34, Gmin: -33.27, Sil: 0.80, C-H: 1.69, D-B: 2.27, time: 49.06
Set: high-noise, Dataset: 1, Algorithm: gmm+CR, m: 6048, n:12, k:4, out:0.17, Gstr: 59.12, Grex: 87.03, Gmin: 49.82, Sil: 0.98, C-H: 4877.56, D-B: 0.02, time: 1355.20
Set: high-noise, Dataset: 2, Algorithm: gmm, m: 6904, n:3, k:14, out:0.00, Gstr: -1.96, Grex: 0.49, Gmin: -49.60, Sil: 0.70, C-H: 4.07, D-B: 1.05, time: 8.41
Set: high-noise, Dataset: 2, Algorithm: gmm+CR, m: 6904, n:3, k:5, out:0.28, Gstr: 56.68, Grex: 112.61, Gmin: 28.06, Sil: 0.98, C-H: 13348.49, D-B: 0.02, time: 292.58
Set: high-noise, Dataset: 3, Algorithm: gmm, m: 6376, n:18, k:14, out:0.00, Gstr: -2.32, Grex: -1.39, Gmin: -38.32, Sil: 0.76, C-H: 1.63, D-B: 2.29, time: 45.39
Set: high-noise, Dataset: 3, Algorithm: gmm+CR, m: 6376, n:18, k:5, out:0.22, Gstr: 89.41, Grex: 122.36, Gmin: 82.75, Sil: 0.99, C-H: 9019.48, D-B: 0.02, time: 1520.41
Set: high-noise, Dataset: 4, Algorithm: gmm, m: 5858, n:3, k:14, out:0.00, Gstr: -2.60, Grex: 1.05, Gmin: -21.98, Sil: 0.84, C-H: 10.24, D-B: 1.11, time: 12.40
Set: high-noise, Dataset: 4, Algorithm: gmm+CR, m: 5858, n:3, k:3, out:0.15, Gstr: 47.97, Grex: 93.32, Gmin: 42.56, Sil: 0.98, C-H: 8313.22, D-B: 0.02, time: 92.89
Set: high-noise, Dataset: 5, Algorithm: gmm, m: 6757, n:21, k:14, out:0.00, Gstr: -2.17, Grex: -1.44, Gmin: -39.46, Sil: 0.70, C-H: 1.15, D-B: 2.77, time: 60.03
Set: high-noise, Dataset: 5, Algorithm: gmm+CR, m: 6757, n:21, k:4, out:0.26, Gstr: 109.79, Grex: 148.53, Gmin: 97.73, Sil: 0.99, C-H: 14161.00, D-B: 0.01, time: 2319.83
Set: high-noise, Dataset: 6, Algorithm: gmm, m: 6001, n:10, k:14, out:0.00, Gstr: -2.42, Grex: -0.88, Gmin: -22.72, Sil: 0.80, C-H: 1.99, D-B: 1.76, time: 24.26
