Set: low-noise, Dataset: 1, Algorithm: ahc, m: 5519, n:4, k:14, out:0.00, Gstr: -0.66, Grex: -0.19, Gmin: -6.17, Sil: -0.18, C-H: 0.01, D-B: 0.80, time: 68.84
Set: low-noise, Dataset: 1, Algorithm: ahc+CR, m: 5519, n:4, k:0, out:0.01, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1073.71
Set: low-noise, Dataset: 2, Algorithm: ahc, m: 5464, n:22, k:14, out:0.00, Gstr: -1.18, Grex: -0.88, Gmin: -1.42, Sil: 0.33, C-H: 0.01, D-B: 0.89, time: 313.83
Set: low-noise, Dataset: 2, Algorithm: ahc+CR, m: 5464, n:22, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1851.13
Set: low-noise, Dataset: 3, Algorithm: ahc, m: 5623, n:9, k:14, out:0.00, Gstr: -0.75, Grex: 0.00, Gmin: -1.28, Sil: 0.24, C-H: 0.01, D-B: 0.61, time: 134.33
Set: low-noise, Dataset: 3, Algorithm: ahc+CR, m: 5623, n:9, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 797.73
Set: low-noise, Dataset: 4, Algorithm: ahc, m: 5457, n:6, k:14, out:0.00, Gstr: -0.61, Grex: 0.13, Gmin: -0.85, Sil: 0.27, C-H: 0.01, D-B: 0.63, time: 83.00
Set: low-noise, Dataset: 4, Algorithm: ahc+CR, m: 5457, n:6, k:0, out:0.01, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 749.53
Set: low-noise, Dataset: 5, Algorithm: ahc, m: 5622, n:20, k:14, out:0.00, Gstr: -1.07, Grex: -0.75, Gmin: -1.23, Sil: 0.11, C-H: 0.00, D-B: 0.80, time: 294.90
Set: low-noise, Dataset: 5, Algorithm: ahc+CR, m: 5622, n:20, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 3226.54
Set: low-noise, Dataset: 6, Algorithm: ahc, m: 5288, n:23, k:14, out:0.00, Gstr: -1.41, Grex: -1.34, Gmin: -1.88, Sil: 0.15, C-H: 0.01, D-B: 1.81, time: 292.00
Set: low-noise, Dataset: 6, Algorithm: ahc+CR, m: 5288, n:23, k:0, out:0.02, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 2905.55
Set: low-noise, Dataset: 7, Algorithm: ahc, m: 5469, n:18, k:14, out:0.00, Gstr: -0.37, Grex: 0.25, Gmin: -0.54, Sil: 0.29, C-H: 0.00, D-B: 0.65, time: 250.01
Set: low-noise, Dataset: 7, Algorithm: ahc+CR, m: 5469, n:18, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1494.33
Set: low-noise, Dataset: 8, Algorithm: ahc, m: 5292, n:15, k:14, out:0.00, Gstr: -1.20, Grex: -0.84, Gmin: -1.20, Sil: 0.08, C-H: 0.00, D-B: 0.89, time: 194.01
