Set: low-noise, Dataset: 1, Algorithm: bench, m: 5519, n:4, k:6, out:0.09, Gstr: 27.02, Grex: 50.13, Gmin: 16.08, Sil: 0.97, C-H: 1529.81, D-B: 0.05, time: 11.38
Set: low-noise, Dataset: 2, Algorithm: bench, m: 5464, n:22, k:3, out:0.08, Gstr: 29.82, Grex: 43.00, Gmin: 28.99, Sil: 0.97, C-H: 1296.21, D-B: 0.05, time: 110.06
Set: low-noise, Dataset: 3, Algorithm: bench, m: 5623, n:9, k:3, out:0.11, Gstr: 30.85, Grex: 51.95, Gmin: 28.56, Sil: 0.97, C-H: 1846.60, D-B: 0.04, time: 36.78
Set: low-noise, Dataset: 4, Algorithm: bench, m: 5457, n:6, k:4, out:0.08, Gstr: 18.83, Grex: 33.24, Gmin: 14.63, Sil: 0.96, C-H: 1054.38, D-B: 0.06, time: 19.36
Set: low-noise, Dataset: 5, Algorithm: bench, m: 5622, n:20, k:6, out:0.11, Gstr: 46.98, Grex: 63.60, Gmin: 43.10, Sil: 0.98, C-H: 1923.13, D-B: 0.03, time: 50.86
Set: low-noise, Dataset: 6, Algorithm: bench, m: 5288, n:23, k:5, out:0.05, Gstr: 22.35, Grex: 31.39, Gmin: 21.33, Sil: 0.96, C-H: 570.95, D-B: 0.06, time: 65.91
Set: low-noise, Dataset: 7, Algorithm: bench, m: 5469, n:18, k:3, out:0.09, Gstr: 30.05, Grex: 43.70, Gmin: 28.39, Sil: 0.97, C-H: 1304.70, D-B: 0.04, time: 84.20
Set: low-noise, Dataset: 8, Algorithm: bench, m: 5292, n:15, k:6, out:0.06, Gstr: 22.80, Grex: 32.89, Gmin: 18.93, Sil: 0.96, C-H: 607.13, D-B: 0.06, time: 35.46
Set: low-noise, Dataset: 9, Algorithm: bench, m: 5364, n:13, k:4, out:0.07, Gstr: 23.66, Grex: 35.70, Gmin: 20.90, Sil: 0.96, C-H: 870.10, D-B: 0.05, time: 50.71
Set: low-noise, Dataset: 10, Algorithm: bench, m: 5669, n:12, k:5, out:0.12, Gstr: 42.86, Grex: 63.43, Gmin: 35.42, Sil: 0.98, C-H: 2356.23, D-B: 0.03, time: 31.70
Set: low-noise, Dataset: 11, Algorithm: bench, m: 5294, n:20, k:4, out:0.06, Gstr: 26.02, Grex: 36.45, Gmin: 25.35, Sil: 0.96, C-H: 795.82, D-B: 0.05, time: 57.84
Set: low-noise, Dataset: 12, Algorithm: bench, m: 5252, n:16, k:3, out:0.05, Gstr: 14.73, Grex: 22.75, Gmin: 14.02, Sil: 0.94, C-H: 373.99, D-B: 0.08, time: 69.22
Set: low-noise, Dataset: 13, Algorithm: bench, m: 5729, n:4, k:5, out:0.13, Gstr: 35.42, Grex: 64.65, Gmin: 31.52, Sil: 0.98, C-H: 3000.23, D-B: 0.03, time: 10.79
Set: low-noise, Dataset: 14, Algorithm: bench, m: 5722, n:6, k:2, out:0.13, Gstr: 41.59, Grex: 69.93, Gmin: 36.31, Sil: 0.98, C-H: 5543.90, D-B: 0.03, time: 32.28
Set: low-noise, Dataset: 15, Algorithm: bench, m: 5467, n:12, k:5, out:0.09, Gstr: 31.08, Grex: 45.74, Gmin: 25.61, Sil: 0.97, C-H: 1460.49, D-B: 0.04, time: 30.54
Set: low-noise, Dataset: 16, Algorithm: bench, m: 5748, n:5, k:6, out:0.13, Gstr: 28.25, Grex: 51.54, Gmin: 15.37, Sil: 0.97, C-H: 2632.00, D-B: 0.04, time: 13.50
Set: low-noise, Dataset: 17, Algorithm: bench, m: 5566, n:10, k:5, out:0.10, Gstr: 30.33, Grex: 46.91, Gmin: 28.91, Sil: 0.97, C-H: 1432.47, D-B: 0.04, time: 26.79
Set: low-noise, Dataset: 18, Algorithm: bench, m: 5487, n:15, k:6, out:0.09, Gstr: 33.91, Grex: 48.93, Gmin: 29.90, Sil: 0.97, C-H: 1099.21, D-B: 0.04, time: 35.89
Set: low-noise, Dataset: 19, Algorithm: bench, m: 5674, n:4, k:2, out:0.12, Gstr: 43.53, Grex: 79.23, Gmin: 39.14, Sil: 0.98, C-H: 4842.67, D-B: 0.03, time: 20.83
Set: low-noise, Dataset: 20, Algorithm: bench, m: 5271, n:13, k:3, out:0.05, Gstr: 15.97, Grex: 25.37, Gmin: 13.61, Sil: 0.95, C-H: 716.70, D-B: 0.08, time: 49.94
