Set: low-noise, Dataset: 1, Algorithm: gmm, m: 5519, n:4, k:14, out:0.00, Gstr: -3.61, Grex: 0.78, Gmin: -15.62, Sil: 0.86, C-H: 6.68, D-B: 1.18, time: 12.50
Set: low-noise, Dataset: 1, Algorithm: gmm+CR, m: 5519, n:4, k:6, out:0.09, Gstr: 27.02, Grex: 50.13, Gmin: 16.08, Sil: 0.97, C-H: 1529.81, D-B: 0.05, time: 142.78
Set: low-noise, Dataset: 2, Algorithm: gmm, m: 5464, n:22, k:14, out:0.00, Gstr: -3.19, Grex: -1.31, Gmin: -15.05, Sil: 0.88, C-H: 2.56, D-B: 2.17, time: 105.96
Set: low-noise, Dataset: 2, Algorithm: gmm+CR, m: 5464, n:22, k:3, out:0.08, Gstr: 29.82, Grex: 43.00, Gmin: 28.99, Sil: 0.97, C-H: 1296.21, D-B: 0.05, time: 1920.33
Set: low-noise, Dataset: 3, Algorithm: gmm, m: 5623, n:9, k:14, out:0.00, Gstr: -3.48, Grex: -0.99, Gmin: -15.74, Sil: 0.86, C-H: 2.44, D-B: 1.86, time: 31.72
Set: low-noise, Dataset: 3, Algorithm: gmm+CR, m: 5623, n:9, k:3, out:0.11, Gstr: 30.85, Grex: 51.95, Gmin: 28.56, Sil: 0.97, C-H: 1846.60, D-B: 0.04, time: 565.40
Set: low-noise, Dataset: 4, Algorithm: gmm, m: 5457, n:6, k:14, out:0.00, Gstr: -3.72, Grex: -0.51, Gmin: -13.00, Sil: 0.87, C-H: 4.41, D-B: 1.49, time: 17.30
Set: low-noise, Dataset: 4, Algorithm: gmm+CR, m: 5457, n:6, k:4, out:0.08, Gstr: 18.83, Grex: 33.24, Gmin: 14.63, Sil: 0.96, C-H: 1054.38, D-B: 0.06, time: 242.21
Set: low-noise, Dataset: 5, Algorithm: gmm, m: 5622, n:20, k:14, out:0.00, Gstr: -3.02, Grex: -1.51, Gmin: -18.04, Sil: 0.86, C-H: 2.75, D-B: 2.22, time: 44.18
Set: low-noise, Dataset: 5, Algorithm: gmm+CR, m: 5622, n:20, k:6, out:0.11, Gstr: 46.98, Grex: 63.60, Gmin: 43.10, Sil: 0.98, C-H: 1923.13, D-B: 0.03, time: 913.90
Set: low-noise, Dataset: 6, Algorithm: gmm, m: 5288, n:23, k:14, out:0.00, Gstr: -3.49, Grex: -1.02, Gmin: -9.37, Sil: 0.90, C-H: 5.30, D-B: 2.06, time: 58.40
Set: low-noise, Dataset: 6, Algorithm: gmm+CR, m: 5288, n:23, k:5, out:0.05, Gstr: 22.35, Grex: 31.39, Gmin: 21.33, Sil: 0.96, C-H: 570.95, D-B: 0.06, time: 545.01
Set: low-noise, Dataset: 7, Algorithm: gmm, m: 5469, n:18, k:14, out:0.00, Gstr: -3.10, Grex: -0.90, Gmin: -10.73, Sil: 0.88, C-H: 2.58, D-B: 2.06, time: 64.85
Set: low-noise, Dataset: 7, Algorithm: gmm+CR, m: 5469, n:18, k:3, out:0.09, Gstr: 30.05, Grex: 43.70, Gmin: 28.39, Sil: 0.97, C-H: 1304.70, D-B: 0.04, time: 1476.76
Set: low-noise, Dataset: 8, Algorithm: gmm, m: 5292, n:15, k:14, out:0.00, Gstr: -3.66, Grex: -0.95, Gmin: -10.80, Sil: 0.90, C-H: 6.33, D-B: 1.89, time: 29.25
Set: low-noise, Dataset: 8, Algorithm: gmm+CR, m: 5292, n:15, k:6, out:0.06, Gstr: 22.80, Grex: 32.89, Gmin: 18.93, Sil: 0.96, C-H: 607.13, D-B: 0.06, time: 377.88
Set: low-noise, Dataset: 9, Algorithm: gmm, m: 5364, n:13, k:14, out:0.00, Gstr: -3.66, Grex: -0.64, Gmin: -11.88, Sil: 0.89, C-H: 4.13, D-B: 2.07, time: 42.90
Set: low-noise, Dataset: 9, Algorithm: gmm+CR, m: 5364, n:13, k:4, out:0.07, Gstr: 23.66, Grex: 35.70, Gmin: 20.90, Sil: 0.96, C-H: 870.10, D-B: 0.05, time: 489.30
Set: low-noise, Dataset: 10, Algorithm: gmm, m: 5669, n:12, k:14, out:0.00, Gstr: -2.77, Grex: -0.83, Gmin: -15.69, Sil: 0.85, C-H: 3.04, D-B: 1.88, time: 28.27
Set: low-noise, Dataset: 10, Algorithm: gmm+CR, m: 5669, n:12, k:5, out:0.12, Gstr: 42.86, Grex: 63.43, Gmin: 35.42, Sil: 0.98, C-H: 2356.23, D-B: 0.03, time: 403.62
Set: low-noise, Dataset: 11, Algorithm: gmm, m: 5294, n:20, k:14, out:0.00, Gstr: -3.68, Grex: -1.16, Gmin: -8.65, Sil: 0.91, C-H: 5.77, D-B: 2.25, time: 54.26
Set: low-noise, Dataset: 11, Algorithm: gmm+CR, m: 5294, n:20, k:4, out:0.06, Gstr: 26.02, Grex: 36.45, Gmin: 25.35, Sil: 0.96, C-H: 795.82, D-B: 0.05, time: 926.03
Set: low-noise, Dataset: 12, Algorithm: gmm, m: 5252, n:16, k:14, out:0.00, Gstr: -4.23, Grex: -1.02, Gmin: -8.75, Sil: 0.90, C-H: 3.88, D-B: 1.85, time: 58.20
Set: low-noise, Dataset: 12, Algorithm: gmm+CR, m: 5252, n:16, k:3, out:0.05, Gstr: 14.73, Grex: 22.75, Gmin: 14.02, Sil: 0.94, C-H: 373.99, D-B: 0.08, time: 896.05
Set: low-noise, Dataset: 13, Algorithm: gmm, m: 5729, n:4, k:14, out:0.00, Gstr: -2.33, Grex: 1.73, Gmin: -20.09, Sil: 0.84, C-H: 5.71, D-B: 1.16, time: 10.37
Set: low-noise, Dataset: 13, Algorithm: gmm+CR, m: 5729, n:4, k:5, out:0.13, Gstr: 35.42, Grex: 64.65, Gmin: 31.52, Sil: 0.98, C-H: 3000.23, D-B: 0.03, time: 140.11
Set: low-noise, Dataset: 14, Algorithm: gmm, m: 5722, n:6, k:14, out:0.00, Gstr: -2.36, Grex: 0.70, Gmin: -14.68, Sil: 0.85, C-H: 3.79, D-B: 1.56, time: 25.85
Set: low-noise, Dataset: 14, Algorithm: gmm+CR, m: 5722, n:6, k:2, out:0.13, Gstr: 41.59, Grex: 69.93, Gmin: 36.31, Sil: 0.98, C-H: 5543.90, D-B: 0.03, time: 458.38
Set: low-noise, Dataset: 15, Algorithm: gmm, m: 5467, n:12, k:14, out:0.00, Gstr: -2.99, Grex: -0.60, Gmin: -12.99, Sil: 0.88, C-H: 4.19, D-B: 1.99, time: 27.74
Set: low-noise, Dataset: 15, Algorithm: gmm+CR, m: 5467, n:12, k:5, out:0.09, Gstr: 31.08, Grex: 45.74, Gmin: 25.61, Sil: 0.97, C-H: 1460.49, D-B: 0.04, time: 518.69
Set: low-noise, Dataset: 16, Algorithm: gmm, m: 5748, n:5, k:14, out:0.00, Gstr: -2.09, Grex: 0.95, Gmin: -18.03, Sil: 0.83, C-H: 4.55, D-B: 1.38, time: 12.58
