Set: low-noise, Dataset: 1, Algorithm: mkm, m: 5519, n:4, k:14, out:0.00, Gstr: -1.12, Grex: 4.54, Gmin: -2.67, Sil: 0.87, C-H: 9.10, D-B: 0.96, time: 12.69
Set: low-noise, Dataset: 1, Algorithm: mkm+CR, m: 5519, n:4, k:6, out:0.06, Gstr: 1.43, Grex: 48.93, Gmin: -0.36, Sil: 0.93, C-H: 50.98, D-B: 0.15, time: 118.54
Set: low-noise, Dataset: 2, Algorithm: mkm, m: 5464, n:22, k:14, out:0.00, Gstr: -3.19, Grex: -1.94, Gmin: -18.93, Sil: 0.12, C-H: 2.37, D-B: 2.78, time: 61.21
Set: low-noise, Dataset: 2, Algorithm: mkm+CR, m: 5464, n:22, k:6, out:0.08, Gstr: -0.81, Grex: 2.40, Gmin: -5.57, Sil: 0.14, C-H: 160.43, D-B: 2.74, time: 1020.13
Set: low-noise, Dataset: 3, Algorithm: mkm, m: 5623, n:9, k:14, out:0.00, Gstr: -2.05, Grex: -0.77, Gmin: -5.10, Sil: 0.69, C-H: 2.61, D-B: 2.01, time: 29.66
Set: low-noise, Dataset: 3, Algorithm: mkm+CR, m: 5623, n:9, k:4, out:0.10, Gstr: -0.03, Grex: 33.61, Gmin: -5.10, Sil: 0.77, C-H: 47.75, D-B: 1.17, time: 447.67
Set: low-noise, Dataset: 4, Algorithm: mkm, m: 5457, n:6, k:14, out:0.00, Gstr: -1.87, Grex: 0.60, Gmin: -4.16, Sil: 0.52, C-H: 4.39, D-B: 1.71, time: 14.05
Set: low-noise, Dataset: 4, Algorithm: mkm+CR, m: 5457, n:6, k:7, out:0.06, Gstr: -1.11, Grex: 13.10, Gmin: -4.16, Sil: 0.55, C-H: 22.41, D-B: 1.52, time: 171.51
Set: low-noise, Dataset: 5, Algorithm: mkm, m: 5622, n:20, k:14, out:0.00, Gstr: -2.05, Grex: -1.91, Gmin: -4.63, Sil: 0.75, C-H: 2.59, D-B: 2.51, time: 44.53
Set: low-noise, Dataset: 5, Algorithm: mkm+CR, m: 5622, n:20, k:7, out:0.10, Gstr: 0.73, Grex: 52.87, Gmin: -3.11, Sil: 0.85, C-H: 33.82, D-B: 1.06, time: 491.50
Set: low-noise, Dataset: 6, Algorithm: mkm, m: 5288, n:23, k:14, out:0.00, Gstr: -2.74, Grex: -0.92, Gmin: -24.51, Sil: 0.41, C-H: 4.69, D-B: 2.50, time: 56.42
Set: low-noise, Dataset: 6, Algorithm: mkm+CR, m: 5288, n:23, k:5, out:0.06, Gstr: 3.10, Grex: 31.36, Gmin: 0.88, Sil: 0.94, C-H: 67.30, D-B: 0.10, time: 517.49
Set: low-noise, Dataset: 7, Algorithm: mkm, m: 5469, n:18, k:14, out:0.00, Gstr: -1.97, Grex: -0.98, Gmin: -13.36, Sil: 0.24, C-H: 2.27, D-B: 2.65, time: 34.96
