Set: separated, Dataset: 1, Algorithm: ahc, m: 5000, n:7, k:14, out:0.00, Gstr: 6.62, Grex: 11.28, Gmin: 0.03, Sil: 0.51, C-H: 233.40, D-B: 0.41, time: 19.34
Set: separated, Dataset: 1, Algorithm: ahc+CR, m: 5000, n:7, k:6, out:0.00, Gstr: 19.87, Grex: 32.73, Gmin: 18.29, Sil: 0.96, C-H: 543.63, D-B: 0.06, time: 53.90
Set: separated, Dataset: 2, Algorithm: ahc, m: 5000, n:21, k:14, out:0.00, Gstr: 10.09, Grex: 14.91, Gmin: -0.53, Sil: 0.51, C-H: 182.55, D-B: 0.59, time: 68.63
Set: separated, Dataset: 2, Algorithm: ahc+CR, m: 5000, n:21, k:4, out:0.00, Gstr: 21.96, Grex: 31.97, Gmin: 21.38, Sil: 0.96, C-H: 637.05, D-B: 0.06, time: 204.73
Set: separated, Dataset: 3, Algorithm: ahc, m: 5000, n:11, k:14, out:0.00, Gstr: 0.08, Grex: 0.98, Gmin: 0.02, Sil: 0.16, C-H: 26.88, D-B: 0.48, time: 58.92
Set: separated, Dataset: 3, Algorithm: ahc+CR, m: 5000, n:11, k:2, out:0.00, Gstr: 7.21, Grex: 14.79, Gmin: 7.04, Sil: 0.91, C-H: 187.54, D-B: 0.13, time: 166.03
Set: separated, Dataset: 4, Algorithm: ahc, m: 5000, n:16, k:14, out:0.00, Gstr: -0.03, Grex: 0.48, Gmin: -0.11, Sil: 0.11, C-H: 60.54, D-B: 0.63, time: 138.97
Set: separated, Dataset: 4, Algorithm: ahc+CR, m: 5000, n:16, k:2, out:0.00, Gstr: 15.60, Grex: 24.90, Gmin: 15.27, Sil: 0.95, C-H: 420.43, D-B: 0.07, time: 648.89
Set: separated, Dataset: 5, Algorithm: ahc, m: 5000, n:5, k:14, out:0.00, Gstr: 2.59, Grex: 5.46, Gmin: -0.88, Sil: 0.49, C-H: 177.15, D-B: 0.49, time: 11.51
Set: separated, Dataset: 5, Algorithm: ahc+CR, m: 5000, n:5, k:6, out:0.00, Gstr: 9.83, Grex: 18.30, Gmin: 8.04, Sil: 0.93, C-H: 412.14, D-B: 0.10, time: 34.95
Set: separated, Dataset: 6, Algorithm: ahc, m: 5000, n:17, k:14, out:0.00, Gstr: 0.18, Grex: 0.68, Gmin: 0.01, Sil: 0.19, C-H: 85.57, D-B: 0.59, time: 64.30
