Set: separated, Dataset: 1, Algorithm: bench, m: 5000, n:7, k:6, out:0.00, Gstr: 19.76, Grex: 32.73, Gmin: 18.18, Sil: 0.96, C-H: 542.02, D-B: 0.06, time: 18.74
Set: separated, Dataset: 2, Algorithm: bench, m: 5000, n:21, k:4, out:0.00, Gstr: 21.86, Grex: 31.97, Gmin: 21.38, Sil: 0.96, C-H: 636.53, D-B: 0.06, time: 65.25
Set: separated, Dataset: 3, Algorithm: bench, m: 5000, n:11, k:2, out:0.00, Gstr: 7.13, Grex: 14.77, Gmin: 6.97, Sil: 0.91, C-H: 186.28, D-B: 0.13, time: 58.01
Set: separated, Dataset: 4, Algorithm: bench, m: 5000, n:16, k:2, out:0.00, Gstr: 15.53, Grex: 24.89, Gmin: 15.23, Sil: 0.95, C-H: 422.05, D-B: 0.07, time: 145.03
Set: separated, Dataset: 5, Algorithm: bench, m: 5000, n:5, k:6, out:0.00, Gstr: 9.78, Grex: 18.29, Gmin: 8.00, Sil: 0.93, C-H: 411.03, D-B: 0.10, time: 12.74
Set: separated, Dataset: 6, Algorithm: bench, m: 5000, n:17, k:3, out:0.00, Gstr: 15.68, Grex: 23.32, Gmin: 15.19, Sil: 0.94, C-H: 397.67, D-B: 0.08, time: 78.52
Set: separated, Dataset: 7, Algorithm: bench, m: 5000, n:21, k:2, out:0.00, Gstr: 8.42, Grex: 14.19, Gmin: 8.09, Sil: 0.91, C-H: 174.63, D-B: 0.13, time: 128.37
Set: separated, Dataset: 8, Algorithm: bench, m: 5000, n:6, k:5, out:0.00, Gstr: 13.08, Grex: 23.26, Gmin: 8.87, Sil: 0.94, C-H: 525.48, D-B: 0.08, time: 14.27
Set: separated, Dataset: 9, Algorithm: bench, m: 5000, n:11, k:5, out:0.00, Gstr: 18.99, Grex: 29.58, Gmin: 15.47, Sil: 0.95, C-H: 582.47, D-B: 0.06, time: 33.03
Set: separated, Dataset: 10, Algorithm: bench, m: 5000, n:5, k:6, out:0.00, Gstr: 14.82, Grex: 26.54, Gmin: 9.32, Sil: 0.95, C-H: 705.26, D-B: 0.08, time: 11.23
Set: separated, Dataset: 11, Algorithm: bench, m: 5000, n:19, k:6, out:0.00, Gstr: 20.79, Grex: 28.57, Gmin: 17.23, Sil: 0.95, C-H: 434.90, D-B: 0.06, time: 56.50
Set: separated, Dataset: 12, Algorithm: bench, m: 5000, n:17, k:4, out:0.00, Gstr: 20.54, Grex: 33.10, Gmin: 19.76, Sil: 0.96, C-H: 587.21, D-B: 0.06, time: 54.88
Set: separated, Dataset: 13, Algorithm: bench, m: 5000, n:15, k:4, out:0.00, Gstr: 22.95, Grex: 34.21, Gmin: 22.51, Sil: 0.96, C-H: 688.92, D-B: 0.05, time: 56.23
Set: separated, Dataset: 14, Algorithm: bench, m: 5000, n:22, k:5, out:0.00, Gstr: 22.63, Grex: 31.80, Gmin: 19.50, Sil: 0.96, C-H: 574.30, D-B: 0.06, time: 56.15
Set: separated, Dataset: 15, Algorithm: bench, m: 5000, n:5, k:4, out:0.00, Gstr: 13.20, Grex: 25.97, Gmin: 7.61, Sil: 0.94, C-H: 585.32, D-B: 0.08, time: 16.57
Set: separated, Dataset: 16, Algorithm: bench, m: 5000, n:15, k:2, out:0.00, Gstr: 4.38, Grex: 9.36, Gmin: 4.06, Sil: 0.87, C-H: 98.39, D-B: 0.18, time: 80.05
Set: separated, Dataset: 17, Algorithm: bench, m: 5000, n:5, k:4, out:0.00, Gstr: 16.49, Grex: 30.50, Gmin: 13.02, Sil: 0.95, C-H: 1040.55, D-B: 0.06, time: 14.53
Set: separated, Dataset: 18, Algorithm: bench, m: 5000, n:14, k:5, out:0.00, Gstr: 16.51, Grex: 26.63, Gmin: 14.26, Sil: 0.95, C-H: 420.22, D-B: 0.07, time: 38.30
Set: separated, Dataset: 19, Algorithm: bench, m: 5000, n:21, k:4, out:0.00, Gstr: 21.63, Grex: 32.34, Gmin: 20.20, Sil: 0.96, C-H: 703.84, D-B: 0.06, time: 60.85
Set: separated, Dataset: 20, Algorithm: bench, m: 5000, n:22, k:4, out:0.00, Gstr: 19.46, Grex: 29.17, Gmin: 19.09, Sil: 0.95, C-H: 538.43, D-B: 0.07, time: 61.67
