Set: separated, Dataset: 1, Algorithm: gmm, m: 5000, n:7, k:14, out:0.00, Gstr: 2.75, Grex: 5.69, Gmin: -1.61, Sil: 0.24, C-H: 278.00, D-B: 2.03, time: 7.74
Set: separated, Dataset: 1, Algorithm: gmm+CR, m: 5000, n:7, k:6, out:0.00, Gstr: 19.76, Grex: 32.73, Gmin: 18.18, Sil: 0.96, C-H: 542.02, D-B: 0.06, time: 72.28
Set: separated, Dataset: 2, Algorithm: gmm, m: 5000, n:21, k:14, out:0.00, Gstr: 1.00, Grex: 2.21, Gmin: -1.78, Sil: 0.12, C-H: 196.35, D-B: 4.45, time: 20.85
Set: separated, Dataset: 2, Algorithm: gmm+CR, m: 5000, n:21, k:4, out:0.00, Gstr: 21.86, Grex: 31.97, Gmin: 21.38, Sil: 0.96, C-H: 636.53, D-B: 0.06, time: 465.32
Set: separated, Dataset: 3, Algorithm: gmm, m: 5000, n:11, k:14, out:0.00, Gstr: -1.58, Grex: -1.23, Gmin: -1.81, Sil: 0.03, C-H: 39.06, D-B: 2.73, time: 11.55
Set: separated, Dataset: 3, Algorithm: gmm+CR, m: 5000, n:11, k:2, out:0.00, Gstr: 7.13, Grex: 14.77, Gmin: 6.97, Sil: 0.91, C-H: 186.28, D-B: 0.13, time: 431.72
Set: separated, Dataset: 4, Algorithm: gmm, m: 5000, n:16, k:14, out:0.00, Gstr: -1.58, Grex: -1.39, Gmin: -1.67, Sil: 0.02, C-H: 78.87, D-B: 3.23, time: 21.44
Set: separated, Dataset: 4, Algorithm: gmm+CR, m: 5000, n:16, k:2, out:0.00, Gstr: 15.53, Grex: 24.89, Gmin: 15.23, Sil: 0.95, C-H: 422.05, D-B: 0.07, time: 615.81
Set: separated, Dataset: 5, Algorithm: gmm, m: 5000, n:5, k:14, out:0.00, Gstr: 1.75, Grex: 4.59, Gmin: -1.54, Sil: 0.33, C-H: 224.70, D-B: 1.51, time: 4.74
Set: separated, Dataset: 5, Algorithm: gmm+CR, m: 5000, n:5, k:6, out:0.00, Gstr: 9.78, Grex: 18.29, Gmin: 8.00, Sil: 0.93, C-H: 411.03, D-B: 0.10, time: 44.79
Set: separated, Dataset: 6, Algorithm: gmm, m: 5000, n:17, k:14, out:0.00, Gstr: -1.70, Grex: -1.57, Gmin: -1.89, Sil: 0.01, C-H: 94.14, D-B: 4.76, time: 15.81
