Set: separated, Dataset: 1, Algorithm: mkm, m: 5000, n:7, k:14, out:0.00, Gstr: 1.27, Grex: 3.24, Gmin: -1.55, Sil: 0.20, C-H: 282.24, D-B: 2.03, time: 8.77
Set: separated, Dataset: 1, Algorithm: mkm+CR, m: 5000, n:7, k:6, out:0.00, Gstr: 19.76, Grex: 32.73, Gmin: 18.18, Sil: 0.96, C-H: 542.02, D-B: 0.06, time: 69.27
Set: separated, Dataset: 2, Algorithm: mkm, m: 5000, n:21, k:14, out:0.00, Gstr: 1.35, Grex: 2.58, Gmin: -1.63, Sil: 0.17, C-H: 218.67, D-B: 2.80, time: 24.71
Set: separated, Dataset: 2, Algorithm: mkm+CR, m: 5000, n:21, k:5, out:0.00, Gstr: 17.04, Grex: 25.08, Gmin: -1.75, Sil: 0.76, C-H: 512.15, D-B: 1.29, time: 294.93
Set: separated, Dataset: 3, Algorithm: mkm, m: 5000, n:11, k:14, out:0.00, Gstr: -1.30, Grex: -0.77, Gmin: -1.47, Sil: 0.16, C-H: 54.12, D-B: 1.54, time: 11.14
Set: separated, Dataset: 3, Algorithm: mkm+CR, m: 5000, n:11, k:4, out:0.00, Gstr: 1.02, Grex: 3.29, Gmin: -1.37, Sil: 0.38, C-H: 110.54, D-B: 1.13, time: 630.95
Set: separated, Dataset: 4, Algorithm: mkm, m: 5000, n:16, k:14, out:0.00, Gstr: -1.44, Grex: -1.19, Gmin: -1.50, Sil: 0.07, C-H: 91.08, D-B: 2.40, time: 15.55
Set: separated, Dataset: 4, Algorithm: mkm+CR, m: 5000, n:16, k:2, out:0.00, Gstr: 15.53, Grex: 24.89, Gmin: 15.23, Sil: 0.95, C-H: 422.05, D-B: 0.07, time: 753.47
Set: separated, Dataset: 5, Algorithm: mkm, m: 5000, n:5, k:14, out:0.00, Gstr: 2.23, Grex: 5.32, Gmin: -1.42, Sil: 0.36, C-H: 223.84, D-B: 1.37, time: 5.48
Set: separated, Dataset: 5, Algorithm: mkm+CR, m: 5000, n:5, k:6, out:0.00, Gstr: 9.78, Grex: 18.29, Gmin: 8.00, Sil: 0.93, C-H: 411.03, D-B: 0.10, time: 39.88
Set: separated, Dataset: 6, Algorithm: mkm, m: 5000, n:17, k:14, out:0.00, Gstr: 0.05, Grex: 0.88, Gmin: -1.58, Sil: 0.14, C-H: 103.01, D-B: 2.69, time: 16.30
Set: separated, Dataset: 6, Algorithm: mkm+CR, m: 5000, n:17, k:3, out:0.00, Gstr: 15.68, Grex: 23.32, Gmin: 15.19, Sil: 0.94, C-H: 397.67, D-B: 0.08, time: 571.94
Set: separated, Dataset: 7, Algorithm: mkm, m: 5000, n:21, k:14, out:0.00, Gstr: -1.47, Grex: -1.24, Gmin: -1.59, Sil: 0.08, C-H: 37.06, D-B: 2.60, time: 18.37
Set: separated, Dataset: 7, Algorithm: mkm+CR, m: 5000, n:21, k:4, out:0.00, Gstr: 4.54, Grex: 8.05, Gmin: -1.51, Sil: 0.59, C-H: 91.72, D-B: 1.61, time: 636.48
